created_at,tweet,likes,retweet_count
2024-03-05,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,839,347
2024-03-24,Rahul Gandhi struggles to gain trust among voters.,3236,441
2024-03-19,Opposition mocks Rahul Gandhi for his weak performance in debates.,3351,391
2024-03-06,Critics say Rahul Gandhi lacks clear vision for the economy.,3716,774
2024-03-23,Rahul Gandhi faces criticism for repetitive campaign points.,486,287
2024-03-14,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",1376,780
2024-03-22,Rahul Gandhi attended a rally in Lucknow today.,4134,222
2024-03-26,Critics say Rahul Gandhi lacks clear vision for the economy.,1567,665
2024-03-08,Voters discuss Rahul Gandhi’s new social welfare proposal.,4634,81
2024-03-04,Voters discuss Rahul Gandhi’s new social welfare proposal.,680,153
2024-03-16,Rahul Gandhi faces criticism for repetitive campaign points.,2969,589
2024-03-08,Critics say Rahul Gandhi lacks clear vision for the economy.,3494,279
2024-03-05,Media covered Rahul Gandhi’s speech during the campaign.,4115,169
2024-03-16,Rahul Gandhi participated in a youth town hall meeting.,4117,387
2024-03-25,Critics say Rahul Gandhi lacks clear vision for the economy.,2144,466
2024-03-03,Critics say Rahul Gandhi lacks clear vision for the economy.,1016,146
2024-03-17,Public discussions continue around Rahul Gandhi’s promises.,237,983
2024-03-08,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,153,877
2024-03-22,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,3632,352
